X,Y,Name,description,altitudeMode,STATUS,SYSTEMSTOP,OWLROUTES,CITY,POS,CROSS_ST,PUBLIC_NAME,SHAPE,STREET,POINT_X,POINT_Y,ROUTESSTPG,DIR,Field_1
-87.807265001,41.950803,Harlem & Byron,,clampToGround,In Service,"11776",,CHICAGO,NS,BYRON,"Harlem &amp; Byron",Point,HARLEM,"-87.807265","41.950803","90",SB,"Harlem &amp; Byron"
-87.807398886,41.958308051,Harlem & Cullom,,clampToGround,In Service,"11771",,NORRIDGE,NS,CULLOM,"Harlem &amp; Cullom",Point,HARLEM,"-87.807399","41.958308","90",SB,"Harlem &amp; Cullom"
-87.807372153,41.961371366,Harlem & Agatite,,clampToGround,In Service,"11769",,NORRIDGE,NS,AGATITE (south leg),"Harlem &amp; Agatite",Point,HARLEM,"-87.807372","41.961371","90",SB,"Harlem &amp; Agatite"
-87.807103,41.958099,Harlem & Cullom,,clampToGround,In Service,"11813",,NORRIDGE,NS,CULLOM,"Harlem &amp; Cullom",Point,HARLEM,"-87.807103","41.958099","90",NB,"Harlem &amp; Cullom"
-87.806924167,41.977028162,Harlem & Berwyn,,clampToGround,In Service,"15927",,CHICAGO,NS,BERWYN,"Harlem &amp; Berwyn",Point,HARLEM,"-87.806924","41.977028","90",NB,"Harlem &amp; Berwyn"
-87.801059117,41.78475322,Harlem & 59th Street,,clampToGround,In Service,"7811",,CHICAGO,FS,59TH STREET,"Harlem &amp; 59th Street",Point,HARLEM,"-87.801059","41.784753",62H,NB,"Harlem &amp; 59th Street"
-87.801290522,41.908839391,North Ave & Forest,,clampToGround,In Service,"846",,OAK PARK,NS,FOREST,"North Ave &amp; Forest",Point,NORTH AVENUE,"-87.801291","41.908839","72",EB,"North Ave &amp; Forest"
-87.800835231,41.930893084,Diversey & Sayre,,clampToGround,In Service,"11108",,CHICAGO,NS,SAYRE,"Diversey &amp; Sayre",Point,DIVERSEY,"-87.800835","41.930893","76",WB,"Diversey &amp; Sayre"
-87.803229801,41.945401532,Addison & Nordica,,clampToGround,In Service,"12619",,CHICAGO,NS,NORDICA,"Addison &amp; Nordica",Point,ADDISON,"-87.80323","41.945402","152",WB,"Addison &amp; Nordica"
-87.798271991,41.777450684,63rd Street & Nottingham,,clampToGround,In Service,"4682",,CHICAGO,NT,NOTTINGHAM,"63rd Street &amp; Nottingham",Point,63RD STREET,"-87.798272","41.777451",63W,WB,"63rd Street &amp; Nottingham"
-87.800126938,41.909058204,North Ave & Sayre,,clampToGround,In Service,"999",,CHICAGO,NS,SAYRE,"North Ave &amp; Sayre",Point,NORTH AVENUE,"-87.800127","41.909058","72",WB,"North Ave &amp; Sayre"
-87.799251999,41.930779,Diversey & Newland,,clampToGround,In Service,"10967",,CHICAGO,NS,NEWLAND,"Diversey &amp; Newland",Point,DIVERSEY,"-87.799252","41.930779","76",EB,"Diversey &amp; Newland"
-87.793634222,41.945439566,Addison & Normandy,,clampToGround,In Service,"12483",,CHICAGO,NS,NORMANDY,"Addison &amp; Normandy",Point,ADDISON,"-87.793634","41.94544","152",EB,"Addison &amp; Normandy"
-87.793533658,41.773892357,65th Street & New England,,clampToGround,In Service,"3345",,CHICAGO,FS,NEW ENGLAND,"65th Street &amp; New England",Point,65TH STREET,"-87.793534","41.773892","165",WB,"65th Street &amp; New England"
-87.796352825,41.792155068,Archer & Sayre,,clampToGround,In Service,"4540",,CHICAGO,NS,SAYRE,"Archer &amp; Sayre",Point,ARCHER,"-87.796353","41.792155","62,62H",WB,"Archer &amp; Sayre"
-87.795778063,41.945420605,Addison & Oak Park,,clampToGround,In Service,"17145",,CHICAGO,FS,OAK PARK,"Addison &amp; Oak Park",Point,ADDISON,"-87.795778","41.945421","152",EB,"Addison &amp; Oak Park"
-87.745597431,41.891625625,Cicero & Ohio,,clampToGround,In Service,"15446",,CHICAGO,FS,OHIO,"Cicero &amp; Ohio",Point,CICERO,"-87.745597","41.891626","54",NB,"Cicero &amp; Ohio"
-87.795069682,41.968318033,Gunnison & Rutherford,,clampToGround,In Service,"9728",,HARWOOD HEIGHTS,NT,RUTHERFORD,"Gunnison &amp; Rutherford",Point,GUNNISON,"-87.79507","41.968318",81W,EB,"Gunnison &amp; Rutherford"
-87.793384773,41.989039205,Northwest Hwy & Naper,,clampToGround,In Service,"9940",,CHICAGO,NT,NAPER,"Northwest Hwy &amp; Naper",Point,NORTHWEST HWY,"-87.793385","41.989039","68",SEB,"Northwest Hwy &amp; Naper"
-87.790777674,41.773938665,65th Street & Oak Park,,clampToGround,In Service,"3343",,CHICAGO,NS,OAK PARK,"65th Street &amp; Oak Park",Point,65TH STREET,"-87.790778","41.773939","165",WB,"65th Street &amp; Oak Park"
-87.807425293,41.957223618,4242 N Harlem,,clampToGround,In Service,"11772",,NORRIDGE,MB,4242 NORTH,4242 N Harlem,Point,HARLEM,"-87.807425","41.957224","90",SB,4242 N Harlem
-87.790523015,41.931020896,6600 W Diversey,,clampToGround,In Service,"11103",,CHICAGO,NT,SERV.DR.(e. of RR CRSSG.),6600 W Diversey,Point,DIVERSEY,"-87.790523","41.931021","76",WB,6600 W Diversey
-87.790551333,41.959260067,Wright College (West Entrance),,clampToGround,In Service,"15564",,CHICAGO,NS,WRIGHT COLLEGE STOP #2,Wright College (West Entrance),Point,NEENAH (WRIGHT COLLEGE),"-87.790551","41.95926","86",NB,Wright College (West Entrance)
-87.790144333,41.977095069,Higgins & Neenah,,clampToGround,In Service,"9810",,CHICAGO,NS,NEENAH,"Higgins &amp; Neenah",Point,HIGGINS,"-87.790144","41.977095","88",NWB,"Higgins &amp; Neenah"
-87.741798636,41.916927276,4600 W Armitage,,clampToGround,In Service,"4033",,CHICAGO,MB,4600 WEST,4600 W Armitage,Point,ARMITAGE,"-87.741799","41.916927","73",EB,4600 W Armitage
-87.788168985,41.923763906,6450 W Fullerton,,clampToGround,In Service,"1283",,CHICAGO,MB,6450 WEST,6450 W Fullerton,Point,FULLERTON,"-87.788169","41.923764","74",WB,6450 W Fullerton
-87.787692833,41.923275129,Grand & Natchez,,clampToGround,In Service,"838",,CHICAGO,NT,NATCHEZ,"Grand &amp; Natchez",Point,GRAND,"-87.787693","41.923275","65",WB,"Grand &amp; Natchez"
-87.785672,41.932742,Narragansett & George,,clampToGround,In Service,"11751",,CHICAGO,NS,GEORGE,"Narragansett &amp; George",Point,NARRAGANSETT,"-87.785672","41.932742","86",NB,"Narragansett &amp; George"
-87.786196,41.940231,Narragansett & School,,clampToGround,In Service,"11695",,CHICAGO,NS,SCHOOL,"Narragansett &amp; School",Point,NARRAGANSETT,"-87.786196","41.940231","86",SB,"Narragansett &amp; School"
-87.786381331,41.952991339,Irving Park & Narragansett,,clampToGround,In Service,"5734",,CHICAGO,NS,NARRAGANSETT,"Irving Park &amp; Narragansett",Point,IRVING PARK,"-87.786381","41.952991","80",WB,"Irving Park &amp; Narragansett"
-87.787795593,41.975568131,Nagle & Foster,,clampToGround,In Service,"9698",,CHICAGO,NS,FOSTER,"Nagle &amp; Foster",Point,NAGLE,"-87.787796","41.975568","86",NB,"Nagle &amp; Foster"
-87.787753244,41.985762902,Nagle & Northwest Hwy,,clampToGround,In Service,"14968",,CHICAGO,FS,NORTHWEST HWY,"Nagle &amp; Northwest Hwy",Point,NAGLE,"-87.787753","41.985763","86",SB,"Nagle &amp; Northwest Hwy"
-87.784805843,41.890476591,Ridgeland & Ontario,,clampToGround,In Service,"11721",,OAK PARK,NS,ONTARIO,"Ridgeland &amp; Ontario",Point,RIDGELAND,"-87.784806","41.890477","86",SB,"Ridgeland &amp; Ontario"
-87.782979859,41.888110932,Lake Street & Cuyler (Green Line),,clampToGround,In Service,"11723",,OAK PARK,FT,CUYLER,"Lake Street &amp; Cuyler (Green Line)",Point,LAKE STREET,"-87.78298","41.888111","86",EB,"Lake Street &amp; Cuyler (Green Line)"
-87.78487541,41.891789938,Ridgeland & Erie,,clampToGround,In Service,"11720",,OAK PARK,NS,ERIE,"Ridgeland &amp; Erie",Point,RIDGELAND,"-87.784875","41.89179","86",SB,"Ridgeland &amp; Erie"
-87.784965169,41.899799097,Ridgeland & Thomas,,clampToGround,In Service,"11733",,OAK PARK,NS,THOMAS,"Ridgeland &amp; Thomas",Point,RIDGELAND,"-87.784965","41.899799","86",NB,"Ridgeland &amp; Thomas"
-87.784870088,41.901934297,Ridgeland & Division,,clampToGround,In Service,"11714",,OAK PARK,NS,DIVISION,"Ridgeland &amp; Division",Point,RIDGELAND,"-87.78487","41.901934","86",SB,"Ridgeland &amp; Division"
-87.76802529,41.975790786,Milwaukee & Foster,,clampToGround,In Service,"9796",,CHICAGO,NS,FOSTER(n. leg)/GETTYSBURG,"Milwaukee &amp; Foster",Point,MILWAUKEE,"-87.768025","41.975791","85,85A",SEB,"Milwaukee &amp; Foster"
-87.764799994,41.872682996,Harrison & Central Terminal,,clampToGround,In Service,"153",,CHICAGO,TERM,CENTRAL,"Harrison &amp; Central Terminal",Point,HARRISON,"-87.7648","41.872683","7",NB,"Harrison &amp; Central Terminal"
-87.783473428,41.905860697,Ridgeland & Greenfield,,clampToGround,In Service,"11712",,OAK PARK,NS,GREENFIELD,"Ridgeland &amp; Greenfield",Point,RIDGELAND,"-87.783473","41.905861","86",SB,"Ridgeland &amp; Greenfield"
-87.783044086,41.923817745,Fullerton & Mobile,,clampToGround,In Service,"1281",,CHICAGO,MT,MOBILE,"Fullerton &amp; Mobile",Point,FULLERTON,"-87.783044","41.923818","74",WB,"Fullerton &amp; Mobile"
-87.780996441,41.774102038,65th Street & Narragansett,,clampToGround,In Service,"3338",,CHICAGO,NS,NARRAGANSETT,"65th Street &amp; Narragansett",Point,65TH STREET,"-87.780996","41.774102","165",WB,"65th Street &amp; Narragansett"
-87.781468999,41.781414,Narragansett & 61st Street,,clampToGround,In Service,"4673",,CHICAGO,NS,61ST STREET,"Narragansett &amp; 61st Street",Point,NARRAGANSETT,"-87.781469","41.781414",55N,SB,"Narragansett &amp; 61st Street"
-87.76576703,41.907456268,Central & Le Moyne,,clampToGround,In Service,"11595",,CHICAGO,NS,LE MOYNE,"Central &amp; Le Moyne",Point,CENTRAL,"-87.765767","41.907456","85",NB,"Central &amp; Le Moyne"
-87.763621,41.923947,Fullerton & Linder,,clampToGround,In Service,"1299",,CHICAGO,NT,LINDER,"Fullerton &amp; Linder",Point,FULLERTON,"-87.763621","41.923947","74",EB,"Fullerton &amp; Linder"
-87.778041345,41.793396474,Archer & Merrimac,,clampToGround,In Service,"4531",,CHICAGO,NS,MERRIMAC,"Archer &amp; Merrimac",Point,ARCHER,"-87.778041","41.793396","62,62H",SWB,"Archer &amp; Merrimac"
-87.780615935,41.923691997,Fullerton & Melvina,,clampToGround,In Service,"1292",,CHICAGO,NS,MELVINA,"Fullerton &amp; Melvina",Point,FULLERTON,"-87.780616","41.923692","74",EB,"Fullerton &amp; Melvina"
-87.778294338,41.93117192,Diversey & Meade,,clampToGround,In Service,"11098",,CHICAGO,NS,MEADE,"Diversey &amp; Meade",Point,DIVERSEY,"-87.778294","41.931172","76",WB,"Diversey &amp; Meade"
-87.779045,41.945686,Addison & Meade,,clampToGround,In Service,"12490",,CHICAGO,NS,MEADE,"Addison &amp; Meade",Point,ADDISON,"-87.779045","41.945686","152",EB,"Addison &amp; Meade"
-87.778633142,41.973382948,Higgins & Austin,,clampToGround,In Service,"15038",,CHICAGO,FS,AUSTIN,"Higgins &amp; Austin",Point,HIGGINS,"-87.778633","41.973383","88",NWB,"Higgins &amp; Austin"
-87.779728919,42.003493135,Caldwell & Wildwood,,clampToGround,In Service,"11653",,CHICAGO,NS,WILDWOOD,"Caldwell &amp; Wildwood",Point,CALDWELL,"-87.779729","42.003493",85A,NWB,"Caldwell &amp; Wildwood"
-87.776518417,41.77770702,63rd Street & Melvina,,clampToGround,In Service,"3303",,CHICAGO,NS,MELVINA,"63rd Street &amp; Melvina",Point,63RD STREET,"-87.776518","41.777707",63W,EB,"63rd Street &amp; Melvina"
-87.774384029,41.792550365,55th Street & Meade,,clampToGround,In Service,"4551",,CHICAGO,NS,MEADE,"55th Street &amp; Meade",Point,55TH STREET,"-87.774384","41.79255",55N,WB,"55th Street &amp; Meade"
-87.774145886,41.869165207,Austin & Harvard/Arthington,,clampToGround,In Service,"9619",,CHICAGO,FS,HARVARD/ARTHINGTON,"Austin &amp; Harvard/Arthington",Point,AUSTIN,"-87.774146","41.869165","91",NB,"Austin &amp; Harvard/Arthington"
-87.774954011,41.886914735,Austin & Corcoran/South Blvd (Green Line),,clampToGround,In Service,"9603",,OAK PARK,FS,SOUTH BLVD/CORCORAN,"Austin &amp; Corcoran/South Blvd (Green Line)",Point,AUSTIN,"-87.774954","41.886915","91",SB,"Austin &amp; Corcoran/South Blvd (Green Line)"
-87.775134202,41.891735695,Austin & Erie,,clampToGround,In Service,"9600",,OAK PARK,FS,ERIE,"Austin &amp; Erie",Point,AUSTIN,"-87.775134","41.891736","91",SB,"Austin &amp; Erie"
-87.775350326,41.903941586,Austin & Berkshire/Potomac,,clampToGround,In Service,"9639",,CHICAGO,FS,BERKSHIRE/POTOMAC,"Austin &amp; Berkshire/Potomac",Point,AUSTIN,"-87.77535","41.903942","91",NB,"Austin &amp; Berkshire/Potomac"
-87.764643999,41.953141,Irving Park & Linder,,clampToGround,In Service,"5623",,CHICAGO,NS,LINDER,"Irving Park &amp; Linder",Point,IRVING PARK,"-87.764644","41.953141","80",EB,"Irving Park &amp; Linder"
-87.761429,41.931282,Diversey & Long,,clampToGround,In Service,"10983",,CHICAGO,NS,LONG,"Diversey &amp; Long",Point,DIVERSEY,"-87.761429","41.931282","76",EB,"Diversey &amp; Long"
-87.755881999,41.904138001,Laramie & Potomac,,clampToGround,In Service,"3831",,CHICAGO,NS,POTOMAC,"Laramie &amp; Potomac",Point,LARAMIE,"-87.755882","41.904138","57",SB,"Laramie &amp; Potomac"
-87.756369486,41.938646603,Belmont & Laramie,,clampToGround,In Service,"17459",N77,CHICAGO,FS,LARAMIE,"Belmont &amp; Laramie",Point,BELMONT,"-87.756369","41.938647","77",EB,"Belmont &amp; Laramie"
-87.752023369,41.774498842,65th Street & Laramie,,clampToGround,In Service,"3371",,BEDFORD PARK,NS,LARAMIE,"65th Street &amp; Laramie",Point,65TH STREET,"-87.752023","41.774499","165",EB,"65th Street &amp; Laramie"
-87.748457425,41.778247019,63rd Street & Lawler,,clampToGround,In Service,"3316",,CHICAGO,NS,LAWLER,"63rd Street &amp; Lawler",Point,63RD STREET,"-87.748457","41.778247",63W,EB,"63rd Street &amp; Lawler"
-87.751142639,41.9094542,North Ave & Lavergne,,clampToGround,In Service,"868",,CHICAGO,NS,LAVERGNE,"North Ave &amp; Lavergne",Point,NORTH AVENUE,"-87.751143","41.909454","72",EB,"North Ave &amp; Lavergne"
-87.7480279,42.009969337,Cicero & Estes,,clampToGround,In Service,"10468",,LINCOLNWOOD,NT,ESTES,"Cicero &amp; Estes",Point,CICERO,"-87.748028","42.009969",54A,SB,"Cicero &amp; Estes"
-87.748671001,42.047981001,Gross Point & Church,,clampToGround,In Service,"3567",,SKOKIE,NS,CHURCH,"Gross Point &amp; Church",Point,GROSS POINT,"-87.748671","42.047981","54A,97",NEB,"Gross Point &amp; Church"
-87.744573323,41.863970699,Cicero & 13th Street,,clampToGround,In Service,"10280",,CICERO,NS,13TH STREET,"Cicero &amp; 13th Street",Point,CICERO,"-87.744573","41.863971","54",NB,"Cicero &amp; 13th Street"
-87.745250476,41.876910045,Cicero & Jackson,,clampToGround,In Service,"10248",,CHICAGO,NS,JACKSON,"Cicero &amp; Jackson",Point,CICERO,"-87.74525","41.87691","54",SB,"Cicero &amp; Jackson"
-87.745887497,41.894729596,Cicero & Chicago,,clampToGround,In Service,"15299",,CHICAGO,FS,CHICAGO,"Cicero &amp; Chicago",Point,CICERO,"-87.745887","41.89473","54",SB,"Cicero &amp; Chicago"
-87.747259329,41.956994171,Cicero & Berteau,,clampToGround,In Service,"10337",,CHICAGO,NT,BERTEAU (north leg),"Cicero &amp; Berteau",Point,CICERO,"-87.747259","41.956994","54,54A",NB,"Cicero &amp; Berteau"
